code,capital_labor_ratio_change,capital_productivity_change,fixed_assets_renewal_comparable_prices,labor_productivity,high_productivity_jobs,machinery_share_in_total_assets,investment_share_for_modernization,production_index_yoy,production_index_mom,date,nominal_wage
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,1.40502157027941,-2.0577661205605255,2017-01-01,-1.3003005668147691
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.3178643701722368,0.0287973907425976,2017-02-01,-1.349666600850976
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.4311099118500673,0.883028090000922,2017-03-01,-1.2599348659103302
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.4537590201856332,-0.11124042880794752,2017-04-01,-1.2664834805649048
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,1.0879340535814832,0.16183331931561487,2017-05-01,-1.1923610186099372
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.8312441591117348,0.1408276463830333,2017-06-01,-1.2163467328816695
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.6500512924272056,-0.37731228595398403,2017-07-01,-1.141577150463214
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.0007768534743112141,0.08481251856281545,2017-08-01,-1.1129847160818709
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,0.7330980229909486,0.056804954652706026,2017-09-01,-1.1328826298907981
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,-0.097369282646475,-0.8954522182910004,2017-10-01,-1.1593736724349932
1,1.1721715258480827,-0.16193014308566764,0.6949816877439166,0.6955491194060339,-1.0251042646327142,0.052201843945243395,-0.3211245916482409,-0.5126029354651868,-0.48234065061689285,2017-11-01,-1.198274919188068
